pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,Mass_Ratio_q,Mass_Ratio_q_err1,Mass_Ratio_q_err2,a_over_Rs,a_over_Rs_err1,a_over_Rs_err2,Hill_Radius_AU,Hill_Radius_AU_err1,Hill_Radius_AU_err2,v_esc_over_v_orb,v_esc_over_v_orb_err1,v_esc_over_v_orb_err2,Safronov_Number,Safronov_Number_err1,Safronov_Number_err2,log_g_p_cgs,log_g_p_cgs_err1,log_g_p_cgs_err2,pl_type,GMM_cluster_final,first_gmm_max_probs,GMM_2nd_cluster,GMM_2nd_prob
CoRoT-10 b,CoRoT-10,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,13.2406,0.0002,-0.0002,0,0.1055,0.0021,-0.0021,0,10.87,0.78,-0.78,0,0.97,0.07,-0.07,0,2.75,0.16,-0.16,0,3.7,0.83,-0.83,0,0.53,0.04,-0.04,0,600,23,-23,0,88.55,0.2,-0.2,0,0,31.33,2.15,-2.15,0,301,10,-10,0,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,K1 V,5075,75,-75,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,0.26,0.07,-0.07,0,[Fe/H],4.65,0.1,-0.1,0,3,,,1,3.32,0.7,-0.7,0,2,0.5,-0.5,0,0.00294852,0.000238471,-0.000238471,28.71672825657793,1.9052820601075324,-1.90528206,0.010489306,0.000624519,-0.000594106,1.1584958703375288,0.1276034719767156,-0.112542464,1.3568862575699135e+76,1.3568862575699135e+76,-1.36E+76,3.859976263661129,0.067583036,-0.067583036,WJ,A2,0.999949631,C,5.029782995786014e-05
CoRoT-11 b,CoRoT-11,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2.99433,1.1e-05,-1.10E-05,0,0.0436,0.005,-0.005,0,16.03,0.34,-0.34,0,1.43,0.03,-0.03,0,2.33,0.34,-0.34,0,0.99,0.15,-0.15,0,0,,,0,1657,55,-55,0,83.17,0.15,-0.15,0,0,6.89,0.08,-0.08,0,280,40,-40,0,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,F6 V,6440,120,-120,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,-0.03,0.08,-0.08,0,[Fe/H],4.22,0.23,-0.23,0,2,1,-1,0,0.69,0.02,-0.02,0,40,5,-5,0,0.001750708,0.000264603,-0.000264603,6.843456519663542,0.798979454,-0.798979454,0.003643487,0.000663763,-0.000622188,0.4726439570944061,0.07817974,-0.073674563,2.2585134607939907e+75,2.2585134607939907e+75,-2.26E+75,3.4508708844592513,0.065941186,-0.065941186,FHJ,A1,0.9999995805819256,C,2.862222985825044e-07
CoRoT-12 b,CoRoT-12,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,2.828042,1.3e-05,-1.30E-05,0,0.04016,0.00093,-0.00092,0,16.14,1.46,-1.46,0,1.44,0.13,-0.13,0,0.917,0.07,-0.065,0,0.411,0.129,-0.094,0,0.07,0.063,-0.042,0,1442,58,-58,0,85.48,0.72,-0.77,0,0,,,,,125.5,8,-7.5,0,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,,5675,80,-80,0,1.116,0.096,-0.092,0,1.078,0.077,-0.072,0,0.16,0.1,-0.1,0,[Fe/H],4.375,0.065,-0.062,0,6.3,3.1,-3.1,0,1.08,0.28,-0.21,0,1,1,-1,0,0.000811731,8.233414051782038e-05,-8.17E-05,7.738184845669995,0.6626059199101458,-0.68885027,0.00259751,0.000189611,-0.000177253,0.3078035874058596,0.042766448,-0.036455814,9.578595163041867e+74,9.578595163041867e+74,-9.58E+74,3.039831389842878,0.08513443,-0.08424054,FHJ,A1,0.999999698,B,3.0202902880023213e-07
CoRoT-13 b,CoRoT-13,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,4.03519,3e-05,-3.00E-05,0,0.051,0.0031,-0.0031,0,9.92,0.157,-0.157,0,0.885,0.014,-0.014,0,1.308,0.066,-0.066,0,2.34,0.23,-0.23,0,0,,,0,1700,,,0,88.02,0.34,-0.36,0,0,10.81,0.32,-0.32,0,157.8,7.7,-7.7,0,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,G0 V,5945,90,-90,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,0.01,0.07,-0.07,0,[Fe/H],4.46,0.05,-0.05,0,1.635,1.515,-1.515,0,1.468,0.131,-0.131,0,4,1,-1,0,0.001145098,6.148178402464707e-05,-6.15E-05,10.85821389,0.7345964286403497,-0.734596429,0.003699508,0.000314501,-0.000304961,0.5255171087005149,0.038865752,-0.037573085,2.7920820903516073e+75,2.7920820903516073e+75,-2.79E+75,3.6169082409559534,0.025865405,-0.025865405,HJ,A1,0.9992544897236724,B,0.00074551
CoRoT-14 b,CoRoT-14,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,1.51214,0.00013,-0.00013,0,0.027,0.002,-0.002,0,12.22,0.78,-0.78,0,1.09,0.07,-0.07,0,7.6,0.6,-0.6,0,7.3,1.5,-1.5,0,0,,,0,1952,66,-66,0,79.6,0.8,-0.8,0,0,4.78,0.28,-0.28,0,1230,34,-34,0,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,F9 V,6035,100,-100,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0,0.05,0.15,-0.15,0,[Fe/H],4.35,0.15,-0.15,0,4.2,3.8,-3.8,0,0.91,0.17,-0.17,0,9,0.5,-0.5,0,0.006417954,0.000719732,-0.000719732,4.798306480065859,0.476417821,-0.476417821,0.003479009,0.00046107,-0.000423857,0.815678455,0.1304976004071851,-0.112941329,6.7265511105066055e+75,6.7265511105066055e+75,-6.73E+75,4.200147635,0.06547573,-0.06547573,FHJ,C,1,A,9.49377603751314e-23
CoRoT-17 b,CoRoT-17,1,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,3.7681,0.0003,-0.0003,0,0.0461,0.0008,-0.0008,0,11.43,0.78,-0.78,0,1.02,0.07,-0.07,0,2.43,0.3,-0.3,0,2.82,0.38,-0.38,0,0,,,0,1626,31,-31,0,88.34,1.54,-1.54,0,0,6.23,0.24,-0.24,0,312.4,29,-29,0,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,G2 V,5740,80,-80,0,1.59,0.07,-0.07,0,1.04,0.1,-0.1,0,0,0.1,-0.1,0,[Fe/H],4.4,0.1,-0.1,0,10.7,1,-1,0,0.32,0.03,-0.03,0,4.5,0.5,-0.5,0,0.002229638,0.000348902,-0.000348902,6.234668850793238,0.2950363073777349,-0.295036307,0.00417579,0.000391913,-0.00036715,0.6494109806800026,0.107290875,-0.092538173,4.2637695072069225e+75,4.2637695072069225e+75,-4.26E+75,3.762592968437833,0.080174675,-0.080174675,HJ,A2,0.9999676359325712,C,2.024116089949784e-05
CoRoT-18 b,CoRoT-18,1,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,1.9000693,2.8e-06,-2.80E-06,0,0.0295,0.0016,-0.0016,0,14.68,2.02,-2.02,0,1.31,0.18,-0.18,0,3.47,0.38,-0.38,0,2.2,0.8,-0.8,0,0.08,,,1,1550,90,-90,0,86.5,1.4,-0.9,0,0,6.35,0.4,-0.4,0,590,14,-14,0,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,G9 V,5440,100,-100,0,1,0.13,-0.13,0,0.95,0.15,-0.15,0,-0.1,0.1,-0.1,0,[Fe/H],4.4,0.1,-0.1,0,,,,,1.35,0.25,-0.25,0,8,1,-1,0,0.003485518,0.000669757,-0.000669757,6.343538881701883,0.8935541253878405,-0.893554125,0.003101254,0.000482988,-0.000414016,0.5731404741620179,0.1541520571686571,-0.114814312,3.3210592307233576e+75,3.3210592307233576e+75,-3.32E+75,3.699973921842701,0.1284752407137433,-0.128475241,FHJ,C,0.999958454,A,4.1545838684396714e-05
CoRoT-19 b,CoRoT-19,1,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,3.89713,2e-05,-2.00E-05,0,0.0518,0.0008,-0.0008,0,14.46,0.34,-0.34,0,1.29,0.03,-0.03,0,1.11,0.06,-0.06,0,0.71,0.06,-0.06,0,0.047,0.045,-0.045,0,2000,150,-150,0,88,0.7,-0.7,0,0,6.7,0.1,-0.1,0,126,6,-6,0,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,F9 V,6090,70,-70,0,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0,-0.02,0.1,-0.1,0,[Fe/H],4.07,0.03,-0.03,0,5,1,-1,0,0.38,0.03,-0.03,0,6,1,-1,0,0.000875385,5.956075389081615e-05,-5.96E-05,6.750802548991423,0.194044506,-0.194044506,0.003435756,0.000165122,-0.000159661,0.3835496693545493,0.026516857,-0.024966185,1.4872969569201475e+75,1.4872969569201475e+75,-1.49E+75,3.2183305965515157,0.030969711,-0.030969711,UHJ,A1,0.9999978243972688,B,2.175578574131973e-06
CoRoT-22 b,CoRoT-22,1,1,1,Transit,2014,CoRoT,Published Confirmed,0,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,9.75598,0.00011,-0.00011,0,0.092,0.0014,-0.0014,0,4.88,0.17,-0.39,0,0.435,0.015,-0.035,0,0.038,0.044,-0.028,0,0.249,1,-0.097,0,0.077,0.3,-0.042,0,885,53,-280,0,89.749,0.032,-0.9,0,0,17.3,1.3,-0.57,0,3.7,3.9,-3.9,0,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,G3 V,5939,54,-120,0,1.136,0.038,-0.09,0,1.099,0.049,-0.049,0,0.17,0.07,-0.12,0,[Fe/H],4.361,0.065,-0.029,0,3.3,2,-2,0,1.027,0.268,-0.1,0,4,1.5,-1.5,0,3.299493895222633e-05,3.8232979040811607e-05,-2.44E-05,17.414823857620355,1.404916067526858,-0.639984378,0.002045957,0.000679264,-0.000773448,0.1708932940234671,0.098966698,-0.087204043,2.9525992562556815e+74,2.9525992562556815e+74,-2.95E+74,2.6969921210708914,0.5077003394461803,-0.321405068,HN,B,0.997851892,A,0.002148108
CoRoT-23 b,CoRoT-23,1,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,3.6313,0.0001,-0.0001,0,0.048,0.004,-0.004,0,11.77,1.46,-1.46,0,1.05,0.13,-0.13,0,2.8,0.3,-0.3,0,3,1.1,-1.1,0,0.16,0.02,-0.02,0,1660,,,0,85.7,2.6,-1.5,0,0,6.85,0.6,-0.6,0,377,34,-34,0,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,G0 V,5900,100,-100,0,1.61,0.18,-0.18,0,1.14,0.08,-0.08,0,0.05,0.1,-0.1,0,[Fe/H],4.3,0.2,-0.2,0,7.2,1.5,-1,0,0.5,0.15,-0.15,0,9,1,-1,0,0.002343768,0.000300187,-0.000300187,6.410987816,0.8939584538034551,-0.893958454,0.004420849,0.000655311,-0.000605864,0.6696306795091885,0.1428601281412677,-0.117224908,4.533411581169447e+75,4.533411581169447e+75,-4.53E+75,3.798966471565699,0.1171748601591773,-0.11717486,HJ,A2,0.9999383835941568,C,5.431343903780934e-05
