ID,rrp,rrpla,tt0,tt0_Myr,mmpla,mmice,mmgas,Mp,Mp_earth,Mp_jup,Mp_Ms_ratio_q,log_Mp_Ms_ratio_q,transit_prob_rrpla,Rp_earth,Rp_m,Rp_jup,Rp_jup_err1,Rp_jup_err2,log_Rp_jup,log_Rp_jup_err1,log_Rp_jup_err2,gp_cgs,log_gp_cgs,G1,gas_frac,IceRock,cluster_map,pred3D_conf_margin
D24-2740,765684163102.7864,15024594631.297705,46885643020704.77,1.4857163732573064,1.354062009009602e+25,6.506384524163144e+24,1.4330090750635174e+24,1.4973629165159537e+25,2.506382304770435,0.0078891618362273,7.528219791432648e-06,-5.123307709876638,0.0463040778851223,1.306092978041335,8330261.013947635,0.1165201842716336,0.0056231481222465,-0.0054351731658706,-0.9335988372258808,0.020468601752039,0.0207456999917811,1440.1760287947836,3.1584155779716414,0.5519562189742737,0.09570218811067031,0.9249597149793874,B,39.11182510182585
D25-3321,726323355946.9594,14971896818.83911,56473456893421.7,1.7895358612005254,1.3706610936465512e+25,6.519576095765865e+24,1.3547096003260462e+24,1.506132053679156e+25,2.5210606502613837,0.0079353638233885,7.572307962187813e-06,-5.120771731797641,0.0464670581435347,1.3080905302014465,8343001.401624824,0.1166983914511389,0.0056731298776553,-0.0054695826614982,-0.9329351301475072,0.0206154893882645,0.0208475837039128,1444.189362887907,3.1596241418938917,0.4887939030618765,0.08994626978536063,0.9071301642849966,B,38.19830937608296
D25-7911,646450303323.9882,15007783457.129744,54471200776828.586,1.7260881935517463,1.3709986313704837e+25,6.333544391547544e+24,1.0868813198032536e+24,1.479686763350809e+25,2.4767948233249792,0.0077960314191296,7.439350243091046e-06,-5.128464994314728,0.04635594603209,1.30202098150191,8304289.820019183,0.1161569101440606,0.005552665866048,-0.0053785163749023,-0.9349549490306208,0.0202796985403796,0.0205899871640262,1432.0906759388745,3.155970517143032,0.5013577918374492,0.07345347317576646,0.8586178076618346,B,38.568728605999084
D25-8364,598267258552.381,15057519080.503948,52071678678261.07,1.6500519265806357,1.387453707175268e+25,6.238736492089448e+24,9.712977755185904e+23,1.484583484727127e+25,2.4849912703410113,0.0078218307941366,7.463969254535581e-06,-5.127030158196852,0.0462028303786626,1.3031108354671708,8311240.908609615,0.1162541390450625,0.0055746912921959,-0.0053992239202719,-0.9345915757934412,0.0203416504183683,0.0206534704254141,1434.4275135892383,3.156678606786549,0.5168405992741893,0.06542560829424283,0.8170376409129062,B,38.70896179529232
D24-3851,611438644210.3356,15018564208.85544,42604565992815.92,1.3500572284589425,1.448575868631086e+25,6.571682060328863e+24,1.1661745619436976e+24,1.5651933248254555e+25,2.6199212025467102,0.0082465401729476,7.86924748529641e-06,-5.104066796053761,0.0463226704181077,1.321339695897375,8427504.58043346,0.1178803863429958,0.0058987825847846,-0.0057010330440984,-0.9285584494563484,0.0212060119035404,0.0215286185208033,1470.8748299604613,3.167575716255453,0.5827349126128991,0.07450674261428662,0.8303788768930997,B,38.99765209037902
D24-5366,510614750075.4318,15069420204.601282,37988875683932.48,1.2037948286286815,1.481740623469855e+25,6.202156460750453e+24,8.789551206237024e+23,1.569636135532225e+25,2.6273578647052744,0.0082699480270401,7.891584391816113e-06,-5.102835794820468,0.0461663415416324,1.322351276613126,8433956.442238517,0.1179706322698835,0.0059108044145979,-0.0057234808948204,-0.9282260929526124,0.0212323262899651,0.0215985788222642,1472.793994063435,3.168142004481274,0.6178448335478314,0.05599738058563938,0.7199044280184812,B,39.43968638701947
D24-7538,816834704208.1656,14965328684.632397,46838688410652.58,1.484228471450699,1.3515492245208295e+25,6.570331744136609e+24,1.6169903632982944e+24,1.513248260850659e+25,2.5329722152767884,0.007972857011858,7.608085776021413e-06,-5.118724599666491,0.0464874520740998,1.3097024999448703,8353282.544648385,0.1168421997516978,0.005704993301229,-0.005500372248336,-0.932400275294594,0.02070364346869,0.0209413794058335,1447.4433133158905,3.1606015643192147,0.552284819411763,0.10685559039660271,0.9460302239412266,B,39.02436155224811
D24-7735,627203154370.162,15035198883.631931,43422407666514.04,1.3759730672330608,1.43245392640762e+25,6.543464539199019e+24,1.1779681874856136e+24,1.5502507451561813e+25,2.5949093521411757,0.0081678121451853,7.794121393444854e-06,-5.108232834353865,0.046271419845159,1.3179988613209177,8406196.737504812,0.1175823412060763,0.0058481865352568,-0.0056451791216912,-0.9296578967344749,0.0210804826062064,0.021367811117496,1464.227544945913,3.165608572511602,0.5767252896958247,0.0759856552990683,0.840946112274009,B,39.020312609740735
D25-0714,620300927548.6122,15009367619.43585,51489094218956.92,1.6315909390751173,1.4268334797942246e+25,6.498234124743086e+24,1.1407196272493142e+24,1.540905442519156e+25,2.579266583842449,0.0081185745127458,7.747136463143068e-06,-5.110858794018038,0.0463510533980877,1.3159370227386735,8393046.33102726,0.1173983988561973,0.0058162795673831,-0.0056093716920251,-0.9303378261945382,0.0210002741093096,0.0212629970522225,1459.9650916969156,3.1643424717675557,0.520671280637553,0.07402917763626064,0.8363127323635546,B,38.3245171960503
D25-1104,634311448687.3322,15021804188.534084,52237621279422.125,1.6553103302983156,1.420440877755716e+25,6.516619785777738e+24,1.173050891998666e+24,1.5377459669555829e+25,2.573978050543307,0.0081019281715257,7.7312517192337e-06,-5.111750186450749,0.0463126793072577,1.3152115953605117,8388419.555209343,0.1173336814637909,0.0058073080541051,-0.0055904748911131,-0.9305773026826186,0.0209799417905697,0.021201567640303,1458.5792546625778,3.163930032311006,0.5157546391464445,0.07628378920876397,0.8476585130973263,B,38.27535928316209
D25-1520,795369681479.6885,14974823389.792606,57756380115684.58,1.8301892449262485,1.362106278703074e+25,6.591478961598036e+24,1.5769668413265856e+24,1.5198029628357325e+25,2.543943896815862,0.0080073917957625,7.641040537132894e-06,-5.1168474962980826,0.0464579769584604,1.311199918181116,8362833.078159158,0.1169757885939567,0.005735115964227,-0.0055241485000552,-0.9319040183234336,0.0207871758264805,0.021009517846489,1450.3945318288024,3.1614861537453027,0.4809097300173372,0.10376126905189036,0.9376769841978946,B,37.978031957830595
D25-2915,614849773603.8722,15031872846.359703,51485802833937.41,1.631486641377589,1.4204555821699351e+25,6.442548599606703e+24,1.1028830976212042e+24,1.5307438919320556e+25,2.562257527253951,0.0080650363115492,7.696047722132004e-06,-5.113732247961624,0.0462816581214282,1.3136330486766172,8378351.584459465,0.1171928549272571,0.0057850546300352,-0.0055634202292674,-0.93109886579453,0.0209259722015754,0.0211224087670175,1455.4292441805067,3.162991097023954,0.5206930030169644,0.07204883216807619,0.8300106422562413,B,38.39387485953364
D25-3188,579244976279.6659,15079328061.689137,49196777232453.84,1.5589517971092175,1.440785926699531e+25,6.396003314804268e+24,1.0280066639151228e+24,1.5435865930910437e+25,2.5837544660223015,0.0081327007012173,7.760616355409973e-06,-5.110103785298065,0.0461360079941168,1.3165594701067582,8397016.300340904,0.1174539291157178,0.0058230160802458,-0.0056189776619978,-0.9301324504510136,0.0210143144727509,0.0212899959871457,1461.1228379232966,3.1646867290004796,0.5360216543376639,0.06659857428902204,0.7983173128637093,B,38.468876822168454
D25-3329,692649140415.212,15022958257.060926,55069460049938.58,1.7450458859336129,1.3906243269222724e+25,6.542645876917659e+24,1.295643601265101e+24,1.5201886870487824e+25,2.544589546799207,0.0080094240624277,7.642979824277438e-06,-5.116737286851836,0.0463091215522092,1.3112879995254585,8363394.860973374,0.1169836465754682,0.0057377890951748,-0.0055253804658113,-0.9318748450780108,0.0207952723559203,0.0210128722117248,1450.5677466442748,3.161538016700703,0.4975703355564788,0.08522913058775605,0.8885121671310685,B,38.1708270757947
D25-4291,616647516943.501,15071208807.896338,50481632455824.36,1.5996664022556963,1.4495184806612085e+25,6.587961829703596e+24,1.1839281616438244e+24,1.567911296825591e+25,2.624470718800159,0.0082608603626216,7.882912502893872e-06,-5.103313293901566,0.0461608626665366,1.321961235339401,8431468.7589947,0.1179358356039095,0.0059071203072217,-0.0057164771231713,-0.9283542115266128,0.0212255208261292,0.0215780068102063,1472.0438342944115,3.167920742548177,0.5273627901630396,0.07550989421664461,0.8331574623534029,B,38.15939940194741
D25-4914,426021568119.67413,15016694061.258776,36637836620208.31,1.1609829841372066,1.5058424082200223e+25,5.727298518594221e+24,6.596429778358712e+23,1.5718067060036094e+25,2.6309911050912413,0.0082813841201454,7.902497264975412e-06,-5.102235645796044,0.0463284393463685,1.322842707333386,8437090.787372336,0.1180144741701496,0.0059159598093869,-0.0057310094937768,-0.9280647243317872,0.0212426948429148,0.0216194706850124,1473.7350627218068,3.168419416264048,0.6285163772245067,0.041967181798902214,0.6137843156813028,B,39.62702666189753
D25-4923,875440429180.5292,14992256613.015942,57865633614465.55,1.8336512793896096,1.377980998287819e+25,6.770553652425355e+24,1.9832557098928797e+24,1.576306569277107e+25,2.63852326550351,0.0083050925673187,7.925121011951268e-06,-5.100994097637474,0.0464039549187017,1.323908364598175,8443887.54940716,0.1181095444162586,0.0059224572385305,-0.0057481992769819,-0.927715005690231,0.0212487581830613,0.0216680645717162,1475.5758105997459,3.1689615271395053,0.48024422050343196,0.12581662403414326,0.965944649935201,B,37.50437153618118
D25-6176,476607418109.7528,15051789500.576788,41802366544953.17,1.3246370619107022,1.4645366855930623e+25,5.863022433437076e+24,7.386413103204526e+23,1.5384008166251075e+25,2.575074180015914,0.0081053783805327,7.734544075541014e-06,-5.111565281358597,0.0462204178428977,1.3153709907213005,8389436.178820454,0.1173479015668949,0.0058082659420153,-0.0055937093826491,-0.930524672116232,0.0209808377677432,0.0212115042826022,1458.8467636551234,3.164009676270385,0.5886904267465486,0.04801358022812671,0.6675919494139362,B,39.279002325607394
D25-8530,788400487868.8418,15007027086.87737,57036395461944.53,1.8073743079937805,1.382091255991921e+25,6.676155781950456e+24,1.625833399823331e+24,1.544674595974254e+25,2.5855756351884,0.00813843306625,7.766086455375838e-06,-5.109797779012266,0.0463582824214625,1.3168271941839484,8398723.844505223,0.1174778135246632,0.0058239942352788,-0.0056243627373848,-0.9300441450825891,0.0210135890295953,0.0213064678727332,1461.5582359480507,3.1648161245494304,0.4853185870418712,0.10525410361901424,0.9344133032683136,B,37.81625717037756
D24-0440,542082248722.5738,15034289114.072523,39061715899005.17,1.2377910835743267,1.4945223919675496e+25,6.449982988940146e+24,1.0171888691612088e+24,1.5962412788836704e+25,2.6718912639075865,0.0084101226495451,8.025345796297992e-06,-5.095536245628559,0.0462742198664255,1.3282147731653728,8471353.823248748,0.1184937310922725,0.005993186417444,-0.0058222686222239,-0.9263046253842622,0.021428338648344,0.021881443141018,1484.5629527430879,3.1715986185364824,0.6094999369966466,0.06372400479911024,0.7592466230833355,B,39.12813718576319
D24-0836,444637200019.09674,15007271656.595564,33044507760108.043,1.0471172636736648,1.5321341745550052e+25,6.013216581101561e+24,7.570447419025563e+23,1.607838648745261e+25,2.691303687096617,0.0084712257573512,8.083653337080246e-06,-5.0923923192316085,0.0463575269322352,1.3306513093437835,8486894.050994653,0.1187111012560098,0.0060468812031787,-0.0058643257770691,-0.9255086661440391,0.0215770090331992,0.022002179938948,1489.8777227378669,3.1731506264529874,0.6578048938908293,0.047084621488191335,0.6460180191891356,B,39.797789291014524
D24-1730,403430964145.3388,14989027662.134533,31360475503065.08,0.9937535016308299,1.5524531813328062e+25,6.396379076699387e+24,7.150212369433354e+23,1.6239553050271398e+25,2.718280782409594,0.0085561396471398,8.164682277662846e-06,-5.088060710834546,0.0464139513036917,1.3342058073771546,8509564.639451493,0.1190282079037024,0.0060963717296915,-0.0059381755723916,-0.9243501051182896,0.0216927365590785,0.0222255666518933,1496.8046124933292,3.1751651127985503,0.6719970014127626,0.04402961305215145,0.7007309431877208,B,39.90874712056839
D24-2259,840446498548.4543,14997079682.935583,44707607391286.88,1.4166985889702286,1.4363818552850517e+25,7.022192762822469e+24,2.1207674307134705e+24,1.6484585983563986e+25,2.7592959699313693,0.0086852402442381,8.287876311495218e-06,-5.081556738973835,0.0463890313786624,1.3392637343888707,8541824.097932218,0.1194794396286608,0.0062117212435717,-0.0060373560073331,-0.9227068229506608,0.0220115603073363,0.0225189823332798,1507.934648561089,3.1783825203240044,0.5674064235827084,0.12865154349814967,0.9564901513177835,B,38.14031102395964
D24-2394,807553307581.8373,14991064657.096949,45177153491808.82,1.4315776070363024,1.420175285218646e+25,6.895394925484978e+24,1.877619644199516e+24,1.6079372496385977e+25,2.6914687316102532,0.0084717452562623,8.08414906806736e-06,-5.092365686888278,0.0464076445478238,1.3306752605135128,8487046.811555184,0.1187132380064228,0.0060470443215212,-0.005865123735658,-0.9255008490944772,0.0215771979731829,0.0220048446352398,1489.915453464829,3.1731616246971943,0.5640394727348573,0.11677194770016881,0.9437526869968115,B,38.40837244936753
D24-4938,384577680076.2566,14992054042.245646,30331594132471.656,0.9611502184092471,1.5536873817112108e+25,6.52415667228722e+24,6.842164735340464e+23,1.6221090290646155e+25,2.715190367019208,0.0085464121657777,8.155399844467651e-06,-5.088554741430698,0.0464045819231713,1.3337664736460682,8506762.568914622,0.1189890137206208,0.0060888336761863,-0.0059251641809304,-0.9244931352526028,0.0216735336331171,0.0221830967368281,1496.0880101957737,3.174957142471025,0.6808181192969093,0.04218067104457201,0.7238834379744622,B,40.06274901083131
D24-5280,746344640288.2611,15037483021.36258,44850435810521.59,1.4212245484612769,1.430770860266999e+25,6.844051586081677e+24,1.6444054586138398e+24,1.595211406128383e+25,2.6701673966863897,0.008404696554944,8.020167954391066e-06,-5.0958165368403385,0.0462643913886169,1.327976850792987,8469836.354357671,0.1184725053762333,0.0059915111832764,-0.0058176213781041,-0.926382427281379,0.0214262392077101,0.0218675480084571,1484.1367908674704,3.171473931118937,0.5663801294609,0.10308385786965077,0.9169836677744523,B,38.50796307303075
D24-8161,835924192593.8042,14989994479.13692,45273008679293.92,1.4346150746347606,1.4135328852439562e+25,6.899893114376753e+24,1.9781694921419245e+24,1.6113498344581483e+25,2.697180935452694,0.0084897251552062,8.101306357255649e-06,-5.091444944330953,0.0464109577203831,1.33145205336867,8492001.196385378,0.1187825378557793,0.0060561228848209,-0.0058770195499325,-0.9252474000138174,0.0215965009548297,0.0220374312125778,1491.3358883528433,3.1735754690931994,0.5633545882329324,0.12276474356092432,0.9536250979438741,B,38.37207613998768
D25-0513,678436094058.9806,15019319870.649826,51812334298250.4,1.6418337990927827,1.4719524817904335e+25,6.892043071269798e+24,1.5049036750290385e+24,1.6224428492933374e+25,2.715749136777037,0.0085481709657183,8.157078176437092e-06,-5.088465375447827,0.0463203398017715,1.3338496318565785,8507292.951981258,0.1189964324956814,0.0060898670756711,-0.0059260431489008,-0.9244660585290166,0.0216758035030458,0.0221850538487465,1496.2093177196018,3.174992355006724,0.5185423796055711,0.09275541974772833,0.8804930237279779,B,37.645177643633986
D25-0540,824656351597.1991,15022922079.97542,56566421062381.87,1.7924817179500934,1.407774764403716e+25,6.857792695317787e+24,1.895963352752566e+24,1.5973710996789725e+25,2.673782430583128,0.0084160753407743,8.031026142176836e-06,-5.09522896039839,0.0463092330703973,1.3284727126989513,8472998.961593911,0.1185167425948904,0.0059952619014759,-0.0058275999690135,-0.926220293510795,0.0214315183176473,0.0218976318345544,1485.0368827001364,3.1717372400197177,0.48821827554432956,0.11869272914312788,0.9498387100786795,B,37.42906261157303
